tag	description	achieved
ACH_PASS	Make a pass	0
ACH_PLAYGAME1	Play a game	0
ACH_TOUCHDOWN1	Score a touchdown	0
ACH_TOUCHDOWN1	Score 30 touchdowns in a game	0
ACH_TOUCHDOWN1	Score 500 touchdowns in a game	0
ACH_FIELDGOAL	Score a field goal	0
ACH_FIELDGOAL1	Score a 250 yard field goal	0
ACH_FIELDGOAL1	Score a 500 yard field goal	0
ACH_POINTAFTER1	Score a 1 point conversion	0
ACH_POINTAFTER2	Score a 2 point conversion	0
ACH_WIN1	Win a game	0
ACH_WIN1	Win 50 games	0
ACH_WIN1	Win 100 games	0
ACH_WIN1	Win 250 games	0
ACH_WIN1	Win 500 games	0
ACH_WIN1	Win 1000 games	0
ACH_SEASON1	Complete a full season	0
ACH_SEASON1	Complete 50 full seasons	0
ACH_SEASON1	Complete 100 full seasons	0
ACH_DRAFT	Draft a player	0
ACH_FREEAGENT	Sign a free agent	0
ACH_TRADEIN	Trade a player in	0
ACH_TRADEOUT	Trade a player out	0
ACH_CUT	Cut a player	0
ACH_WIN_DIVISION	Win a division	0
ACH_WIN_PLAYOFF	Win a play-off game	0
ACH_WIN_AFC	Win the AFC title	0
ACH_WIN_NFC	Win the NFC title	0
ACH_WIN_RETROBOWL1	Win the Retro Bowl	0
ACH_WIN_RETROBOWL1	Win 30 Retro Bowl titles	0
ACH_WIN_RETROBOWL1	Win 50 Retro Bowl titles	0
ACH_WIN_RETROBOWL1	Win 100 Retro Bowl titles	0
ACH_CAREER_TD1	Score 5000 career touchdowns	0
ACH_CAREER_TD1	Score 10000 career touchdowns	0
ACH_CAREER_TD1	Score 25000 career touchdowns	0
ACH_CAREER_TD1	Score 50000 career touchdowns	0
ACH_UPGRADE_STADIUM	Upgrade your stadium facilities	0
ACH_UPGRADE_TRAINING	Upgrade your training facilities	0
ACH_UPGRADE_REHAB	Upgrade your rehab facilities	0
ACH_MAX_STADIUM	Max out your stadium facilities	0
ACH_MAX_TRAINING	Max out your training facilities	0
ACH_MAX_REHAB	Max out your rehab facilities	0
ACH_WINNING_SEASON	Have a winning season	0
ACH_UNBEATEN_SEASON	Have a 16-0 season	0
ACH_OFFENSE5	Build 5 star offense	0
ACH_DEFENSE5	Build 5 star defense	0
ACH_MORALE100	Achieve 100% team morale	0
ACH_FANS100	Get 100% fan rating	0
ACH_HIRE_OF	Hire an offensive coordinator	0
ACH_HIRE_DF	Hire a defensive coordinator	0
ACH_HIRE_OF5	Hire a 5 star OF coordinator	0
ACH_HIRE_DF5	Hire a 5 star DF coordinator	0
ACH_PASS1	Make a 1000 yard passing play	0
ACH_PASS1	Make a 2500 yard passing play	0
ACH_PASS1	Make a 5000 yard passing play	0
ACH_RUN5	Make a 50000 yard running play	0
ACH_RUN10	Make a 1000 yard running play	0
ACH_RUN15	Make a 1500 yard running play	0
ACH_GAME_PASS_2	Pass for 2000 yards in a game	0
ACH_GAME_PASS_3	Pass for 3000 yards in a game	0
ACH_GAME_PASS_4	Pass for 4000 yards in a game	0
ACH_GAME_RUSH_5	Rush for 500 yards in a game	0
ACH_GAME_RUSH_1	Rush for 1000 yards in a game	0
ACH_GAME_RUSH_1	Rush for 1500 yards in a game	0
ACH_TEAMS2	Take charge of a new team	0
